113-Sales Order User Field 2-L:	Top BOM Parent
114-Sales Order User Field 3-L:	Top BOM Parent
115-Sales Order User Field 4-L:	Top BOM Parent
116-Sales Order User Field 5-L:	Top BOM Parent
117-Sales Order User Field 1-K:	BOM Parent
118-Sales Order User Field 2-K:	BOM Parent
119-Sales Order User Field 3-K:	BOM Parent
120-Sales Order User Field 4-K:	BOM Parent
121-Sales Order User Field 5-K:	BOM Parent
122-SO Line User Field 1-L:	Top BOM Parent
123-SO Line User Field 2-L:	Top BOM Parent
124-SO Line User Field 3-L:	Top BOM Parent
125-SO Line User Field 4-L:	Top BOM Parent
126-SO Line User Field 5-L:	Top BOM Parent
127-SO Line User Defined 1-L:	Top BOM Parent
128-SO Line User Defined 2-L:	Top BOM Parent
129-SO Line User Field 1-K:	BOM Parent
130-SO Line User Field 2-K:	BOM Parent
131-SO Line User Field 3-K:	BOM Parent
132-SO Line User Field 4-K:	BOM Parent
133-SO Line User Field 5-K:	BOM Parent
134-SO Line User Defined 1-K:	BOM Parent
135-SO Line User Defined 2-K:	BOM Parent
136-Workcenter List-K:	BOM Parent
137-Workcenter List-L:	Top BOM Parent
138-SO Ship To ID-H:  Sales Order Header
139-SO Ship To Name-H:  Sales Order Header
140-SO Ship To Address 1-H:  Sales Order Header
141-SO Ship To Address 2-H:  Sales Order Header
142-SO Ship To Address 3-H:  Sales Order Header
143-SO Ship To Address 4-H:  Sales Order Header
144-SO Ship To Address 5-H:  Sales Order Header
145-SO Ship To City-H:  Sales Order Header
146-SO Ship To State-H:  Sales Order Header
147-SO Ship To Zip-H:  Sales Order Header
148-SO Ship To Country-H:  Sales Order Header
149-SO Ship To Attention-H:  Sales Order Header
150-SO Ship To ID-K:	BOM Parent
151-SO Ship To Name-K:	BOM Parent
152-SO Ship To Address 1-K:	BOM Parent
153-SO Ship To Address 2-K:	BOM Parent
154-SO Ship To Address 3-K:	BOM Parent
155-SO Ship To Address 4-K:	BOM Parent
156-SO Ship To Address 5-K:	BOM Parent
157-SO Ship To City-K:	BOM Parent
158-SO Ship To State-K:	BOM Parent
159-SO Ship To Zip-K:	BOM Parent
160-SO Ship To Country-K:	BOM Parent
161-SO Ship To Attention-K:	BOM Parent
162-SO Ship To ID-L:	Top BOM Parent
163-SO Ship To Name-L:	Top BOM Parent
164-SO Ship To Address 1-L:	Top BOM Parent
165-SO Ship To Address 2-L:	Top BOM Parent
166-SO Ship To Address 3-L:	Top BOM Parent
167-SO Ship To Address 4-L:	Top BOM Parent
168-SO Ship To Address 5-L:	Top BOM Parent
169-SO Ship To City-L:	Top BOM Parent
170-SO Ship To State-L:	Top BOM Parent
171-SO Ship To Zip-L:	Top BOM Parent
172-SO Ship To Country-L:	Top BOM Parent
173-SO Ship To Attention-L:	Top BOM Parent
174-Sequence-M:	Next Labor Sequence
175-Description-M:	Next Labor Sequence
176-Operation-M:	Next Labor Sequence
177-WC-M:	Next Labor Sequence
178-Router Sequence-M:	Next Labor Sequence
179-Quantity-M:	Next Labor Sequence
180-Estimated Hours-M:	Next Labor Sequence
181-Start Date-M:	Next Labor Sequence
182-Due Date-M:	Next Labor Sequence
183-Good Pieces-M:	Next Labor Sequence
184-Scrap-M:	Next Labor Sequence
185-Closed-M:	Next Labor Sequence
186-Sequence-N:	Previous Labor Sequence
187-Description-N:	Previous Labor Sequence
188-Operation-N:	Previous Labor Sequence
189-WC-N:	Previous Labor Sequence
190-Router Sequence-N:	Previous Labor Sequence
191-Quantity-N:	Previous Labor Sequence
192-Estimated Hours-N:	Previous Labor Sequence
193-Start Date-N:	Previous Labor Sequence
194-Due Date-N:	Previous Labor Sequence
195-Good Pieces-N:	Previous Labor Sequence
196-Scrap-N:	Previous Labor Sequence
197-Closed-N:	Previous Labor Sequence
198-Material Sequence-C:  Work Order Operations
199-Previous WC List-C:  Work Order Operations
200-Subsequent WC List-C:  Work Order Operations
201-Exported-A:  Work Order Header
202-UM-D:  Inventory Header (FG)
203-UM-F:  Inventory Header (Raw Material)
204-Last Schedule Date-A:  Work Order Header
205-WG-C:  Work Order Operations
206-Product Line-O:  Router
207-Scrap Percentage-O:  Router
208-Customer-O:  Router
209-Customer Part-O:  Router
210-Customer Drawing-O:  Router
211-User 1-O:  Router
212-User 2-O:  Router
213-Job Hold-A:  Work Order Header
214-Part (Long)-A:  Work Order Header
215-Part Rev (Long)-A:  Work Order Header
216-Material (Long)-C:  Work Order Operations
217-Material Rev(Long)-C:  Work Order Operations
218-BOM Parent (Long)-K:	BOM Parent
219-BOM Parent Rev (Long)-K:	BOM Parent
220-Part (Long)-L:	Top BOM Parent
221-Part Rev (Long)-L:	Top BOM Parent
222-Operation-C:  Work Order Operations
223-Router Sequence-C:  Work Order Operations
224-Quantity-C:  Work Order Operations
225-Estimated Hours-C:  Work Order Operations
226-Good Pieces-C:  Work Order Operations
227-Scrap-C:  Work Order Operations
